CORTE,SECTOR / ZONA,ACTIVIDAD,FAMILIA,VENCE,EST,CAL,CAMP,AMB,BIM,SSOMA,OTROS,CHECKS PENDIENTES,TOTAL CHECKS,ANTIGUEDAD (dias),MARCADA,CLAVE ORDEN,LISTA TRELLO,DIA DEL CORTE,ESTADO,LINK TRELLO
2026-09-07 16:27,1CS15,ACERO SUPERIOR EN ZAPATAS,Acero,2026-09-03 17:00,8,5,1,3,0,5,0,22,22,4,,22.0027,T.  POR CERRAR 🆘🆘🆘🆘🆘🆘🆘🆘🆘,AYER Y ANTES,POR CERRAR,https://trello.com/c/T1BFsF17
2026-09-07 16:27,1CS16,CONCRETO EN FALSA ZAPATA,Concreto,2026-09-03 17:00,3,5,7,2,1,3,0,21,21,4,,21.0028,T.  POR CERRAR 🆘🆘🆘🆘🆘🆘🆘🆘🆘,AYER Y ANTES,POR CERRAR,https://trello.com/c/eyY0Vq69
2026-09-07 16:27,1CS17,ENCOFRADO DE FALSA ZAPATA,Encofrado,2026-09-03 17:00,3,7,2,1,2,3,0,18,18,4,,18.0029,T.  POR CERRAR 🆘🆘🆘🆘🆘🆘🆘🆘🆘,AYER Y ANTES,POR CERRAR,https://trello.com/c/tAoQqp9e
2026-09-07 16:27,1CS18,EXCAVACIÓN DE CIMENTACIONES,Excavacion,2026-09-03 17:00,4,4,6,2,2,3,0,21,21,4,,21.003,T.  POR CERRAR 🆘🆘🆘🆘🆘🆘🆘🆘🆘,AYER Y ANTES,POR CERRAR,https://trello.com/c/5HmxntPn
2026-09-07 16:27,1CS18,TRAZO Y REPLANTEO PARA EXCAVACIÓN DE CIMENTACIONES,Trazo,2026-09-03 17:00,3,5,1,0,2,0,0,11,11,4,,11.0031,T.  POR CERRAR 🆘🆘🆘🆘🆘🆘🆘🆘🆘,AYER Y ANTES,POR CERRAR,https://trello.com/c/kbj3WWtE
2026-09-07 16:27,1CS7,ACERO VERTICAL DE COLUMNAS Y ESTRIBOS PARCIALES,Acero,2026-09-03 17:00,5,4,2,2,0,3,0,16,16,4,,16.0032,T.  POR CERRAR 🆘🆘🆘🆘🆘🆘🆘🆘🆘,AYER Y ANTES,POR CERRAR,https://trello.com/c/MpMgbXWU
2026-09-07 16:27,1CS8,ACERO INFERIOR EN ZAPATAS,Acero,2026-09-03 17:00,7,4,1,2,0,4,0,18,18,4,,18.0033,T.  POR CERRAR 🆘🆘🆘🆘🆘🆘🆘🆘🆘,AYER Y ANTES,POR CERRAR,https://trello.com/c/HpkWIRVF
2026-09-07 16:27,1PS1,ACERO EN LOSA,Acero,2026-09-03 17:00,0,0,0,0,0,0,0,0,0,4,,0.0034,T.  POR CERRAR 🆘🆘🆘🆘🆘🆘🆘🆘🆘,AYER Y ANTES,POR CERRAR,https://trello.com/c/uUdSkEAj
2026-09-07 16:27,1PS1,ENCOFRADO 2DO TRAMO,Encofrado,2026-09-03 17:00,0,0,0,0,0,0,0,0,0,4,,0.0035,T.  POR CERRAR 🆘🆘🆘🆘🆘🆘🆘🆘🆘,AYER Y ANTES,POR CERRAR,https://trello.com/c/f91dbkTm
2026-09-07 16:27,1PS1,II.SS EN LOSA,Varios,2026-09-03 17:00,0,0,0,0,0,0,0,0,0,4,,0.0036,T.  POR CERRAR 🆘🆘🆘🆘🆘🆘🆘🆘🆘,AYER Y ANTES,POR CERRAR,https://trello.com/c/s0RQEeC1
2026-09-07 16:27,1PS1,LADRILLO PARA TECHO,Varios,2026-09-03 17:00,0,0,0,0,0,0,0,0,0,4,,0.0037,T.  POR CERRAR 🆘🆘🆘🆘🆘🆘🆘🆘🆘,AYER Y ANTES,POR CERRAR,https://trello.com/c/zoBQl1mH
2026-09-07 16:27,1PS11,COMPLETADO DE ESTRIBOS EN COLUMNAS Y PLACAS,Acero,2026-09-03 17:00,5,5,5,2,4,5,0,26,26,4,,26.0038,T.  POR CERRAR 🆘🆘🆘🆘🆘🆘🆘🆘🆘,AYER Y ANTES,POR CERRAR,https://trello.com/c/luAz4S0Y
2026-09-07 16:27,1PS11,TRAZO Y REPLANTEO DE COLUMNAS Y PLACAS,Trazo,2026-09-03 17:00,3,6,1,0,3,0,0,13,13,4,,13.0039,T.  POR CERRAR 🆘🆘🆘🆘🆘🆘🆘🆘🆘,AYER Y ANTES,POR CERRAR,https://trello.com/c/Q59vgTLc
2026-09-07 16:27,1PS19,CONCRETO DE COL,Concreto,2026-09-03 17:00,0,0,0,0,0,0,0,0,0,4,,0.004,T.  POR CERRAR 🆘🆘🆘🆘🆘🆘🆘🆘🆘,AYER Y ANTES,POR CERRAR,https://trello.com/c/gmm8xGZZ
2026-09-07 16:27,1PS2,ENCOFRADO LOSAS Y CARTERA DE VIGAS,Encofrado,2026-09-03 17:00,0,0,0,0,0,0,0,0,0,4,,0.0041,T.  POR CERRAR 🆘🆘🆘🆘🆘🆘🆘🆘🆘,AYER Y ANTES,POR CERRAR,https://trello.com/c/44oB4OoN
2026-09-07 16:27,1PS20,ENCOFRADO DE COL,Encofrado,2026-09-03 17:00,0,0,0,0,0,0,0,0,0,4,,0.0042,T.  POR CERRAR 🆘🆘🆘🆘🆘🆘🆘🆘🆘,AYER Y ANTES,POR CERRAR,https://trello.com/c/LMdnxWv1
2026-09-07 16:27,1PS20,TRAZO Y REPLANTEO DE COL,Trazo,2026-09-03 17:00,0,0,0,0,0,0,0,0,0,4,,0.0043,T.  POR CERRAR 🆘🆘🆘🆘🆘🆘🆘🆘🆘,AYER Y ANTES,POR CERRAR,https://trello.com/c/DNgC56xu
2026-09-07 16:27,1PS3,ACERO EN VIGAS,Acero,2026-09-03 17:00,0,0,0,0,0,0,0,0,0,4,,0.0044,T.  POR CERRAR 🆘🆘🆘🆘🆘🆘🆘🆘🆘,AYER Y ANTES,POR CERRAR,https://trello.com/c/V6w5x4wm
2026-09-07 16:27,1PS4,ENCOFRADO DE FONDO DE VIGA,Encofrado,2026-09-03 17:00,0,0,0,0,0,0,0,0,0,4,,0.0045,T.  POR CERRAR 🆘🆘🆘🆘🆘🆘🆘🆘🆘,AYER Y ANTES,POR CERRAR,https://trello.com/c/ifU59p6K
2026-09-07 16:27,1PS5,CONCRETO DE COLUMNAS Y PLACAS,Concreto,2026-09-03 17:00,3,12,8,2,1,3,0,29,29,4,,29.0046,T.  POR CERRAR 🆘🆘🆘🆘🆘🆘🆘🆘🆘,AYER Y ANTES,POR CERRAR,https://trello.com/c/vMBTtODM
2026-09-07 16:27,1PS6,ENCOFRADO DE COLUMNAS Y PLACAS,Encofrado,2026-09-03 17:00,3,8,6,1,0,2,0,20,20,4,,20.0047,T.  POR CERRAR 🆘🆘🆘🆘🆘🆘🆘🆘🆘,AYER Y ANTES,POR CERRAR,https://trello.com/c/mg0e7DEz
2026-09-08 19:52,,1CS11 — TRAZO Y REPLANTEO DE ZAPATAS Y ELEMENTOS VERTICALES,Trazo,2026-08-25 17:00,0,0,0,0,3,0,0,3,13,14,,3.0001,T.  NO CUMPLIDAS 🆘🆘🆘🆘🆘🆘🆘🆘🆘,AYER Y ANTES,NO CUMPLIDA,https://trello.com/c/7yiwSVba
2026-09-08 19:52,,1CS14 — EXCAVACIÓN DE CIMENTACIONES,Excavacion,2026-08-25 17:00,0,0,0,0,2,0,0,2,21,14,,2.0002,T.  NO CUMPLIDAS 🆘🆘🆘🆘🆘🆘🆘🆘🆘,AYER Y ANTES,NO CUMPLIDA,https://trello.com/c/YaeuNenm
2026-09-08 19:52,,1CS14 — TRAZO Y REPLANTEO PARA EXCAVACIÓN DE CIMENTACIONES,Trazo,2026-08-25 17:00,0,0,0,0,2,0,0,2,11,14,,2.0003,T.  NO CUMPLIDAS 🆘🆘🆘🆘🆘🆘🆘🆘🆘,AYER Y ANTES,NO CUMPLIDA,https://trello.com/c/dJGm1DOJ
2026-09-08 19:52,,1CS3 — ENCOFRADO DE ZAPATA Y VIGA DE CIMENTACIÓN,Encofrado,2026-08-25 17:00,0,0,0,0,2,0,0,2,17,14,,2.0004,T.  NO CUMPLIDAS 🆘🆘🆘🆘🆘🆘🆘🆘🆘,AYER Y ANTES,NO CUMPLIDA,https://trello.com/c/DOcbMLwI
2026-09-08 19:52,,1CS13 — ENCOFRADO DE FALSA ZAPATA,Encofrado,2026-08-25 17:00,0,0,0,0,2,0,0,2,18,14,,2.0005,T.  NO CUMPLIDAS 🆘🆘🆘🆘🆘🆘🆘🆘🆘,AYER Y ANTES,NO CUMPLIDA,https://trello.com/c/Ny1AmApF
2026-09-08 19:52,,1CS4 — ACERO SUPERIOR EN ZAPATAS,Acero,2026-08-25 17:00,0,0,0,3,0,0,0,3,21,14,,3.0006,T.  NO CUMPLIDAS 🆘🆘🆘🆘🆘🆘🆘🆘🆘,AYER Y ANTES,NO CUMPLIDA,https://trello.com/c/riKbHN0I
2026-09-08 19:52,,1CS4 — ACERO DE VIGA DE CIMENTACIÓN,Acero,2026-08-25 17:00,0,0,0,2,0,0,0,2,24,14,,2.0007,T.  NO CUMPLIDAS 🆘🆘🆘🆘🆘🆘🆘🆘🆘,AYER Y ANTES,NO CUMPLIDA,https://trello.com/c/uFx38yvn
2026-09-08 19:52,,1CS5 — ACERO VERTICAL DE COLUMNAS Y ESTRIBOS PARCIALES,Acero,2026-08-25 17:00,0,0,0,1,0,0,0,1,16,14,,1.0008,T.  NO CUMPLIDAS 🆘🆘🆘🆘🆘🆘🆘🆘🆘,AYER Y ANTES,NO CUMPLIDA,https://trello.com/c/LQYyrZCT
2026-09-08 19:52,,1CS6 — ACERO INFERIOR EN ZAPATAS,Acero,2026-08-25 17:00,0,0,0,2,0,0,0,2,17,14,,2.0009,T.  NO CUMPLIDAS 🆘🆘🆘🆘🆘🆘🆘🆘🆘,AYER Y ANTES,NO CUMPLIDA,https://trello.com/c/Y3VOOR9M
2026-09-08 19:52,,1PS1 — TRAZO Y REPLANTEO DE COLUMNAS Y PLACAS — 26/08/2026,Trazo,2026-08-26 18:30,0,0,0,0,0,0,0,0,13,13,,0.001,T.  NO CUMPLIDAS 🆘🆘🆘🆘🆘🆘🆘🆘🆘,AYER Y ANTES,NO CUMPLIDA,https://trello.com/c/JzZOjT7V
2026-09-08 19:52,,1CS2 — RELLENO CON AFIRMADO COMPACTADO HASTA NIVEL DE ZAPATA — 26/08/2026,Relleno,2026-08-26 18:30,0,0,0,0,0,2,0,2,13,13,,2.0011,T.  NO CUMPLIDAS 🆘🆘🆘🆘🆘🆘🆘🆘🆘,AYER Y ANTES,NO CUMPLIDA,https://trello.com/c/ydZqAZxm
2026-09-08 19:52,,1CS15 — TRAZO Y REPLANTEO PARA EXCAVACIÓN DE CIMENTACIONES — 26/08/2026,Trazo,2026-08-26 18:30,3,5,0,0,0,0,0,8,11,13,,8.0012,T.  NO CUMPLIDAS 🆘🆘🆘🆘🆘🆘🆘🆘🆘,AYER Y ANTES,NO CUMPLIDA,https://trello.com/c/2z6YFOQ0
