CORTE,SECTOR / ZONA,ACTIVIDAD,FAMILIA,VENCE,EST,CAL,CAMP,AMB,BIM,SSOMA,OTROS,CHECKS PENDIENTES,TOTAL CHECKS,ANTIGUEDAD (dias),MARCADA,CLAVE ORDEN,LISTA TRELLO,DIA DEL CORTE,ESTADO,LINK TRELLO
2026-09-24 15:22,1PS12,ENCOFRADO LOSAS Y CARTERA DE VIGAS,Encofrado,2026-09-11 17:00,2,3,2,1,1,2,0,11,11,13,,11.0024,T. POR CERRAR - ENCOFRADO-CONCRETO,AYER Y ANTES,POR CERRAR,https://trello.com/c/N6Jue8Bm
2026-09-24 15:22,1PS19,CONCRETO PARA TABLERO,Concreto,2026-09-11 17:00,2,3,2,1,1,2,0,11,11,13,,11.0025,T. POR CERRAR - ENCOFRADO-CONCRETO,AYER Y ANTES,POR CERRAR,https://trello.com/c/jcUWUmcF
2026-09-24 15:22,1PS20,ENCOFRADO FRISO DE LOSA,Encofrado,2026-09-11 17:00,2,3,2,1,1,2,0,11,11,13,,11.0026,T. POR CERRAR - ENCOFRADO-CONCRETO,AYER Y ANTES,POR CERRAR,https://trello.com/c/YsSIInMp
2026-09-24 15:22,1PS22,ENCOFRADO DE FONDO DE VIGA,Encofrado,2026-09-09 17:00,2,3,2,1,1,2,0,11,11,15,,11.0027,T. POR CERRAR - ENCOFRADO-CONCRETO,AYER Y ANTES,POR CERRAR,https://trello.com/c/QGc6qdM4
2026-09-24 15:22,1PS23,CONCRETO DE COL,Concreto,2026-09-09 17:00,2,3,2,1,1,2,0,11,11,15,,11.0028,T. POR CERRAR - ENCOFRADO-CONCRETO,AYER Y ANTES,POR CERRAR,https://trello.com/c/buVFCr0y
2026-09-24 15:22,1PS3,CONCRETO EN LOSA,Concreto,2026-09-09 17:00,2,3,2,1,1,2,0,11,11,15,,11.0029,T. POR CERRAR - ENCOFRADO-CONCRETO,AYER Y ANTES,POR CERRAR,https://trello.com/c/27BVQ3Eh
2026-09-24 15:22,1PS22,ENCOFRADO DE LOSAS Y CARTERA DE VIGAS,Encofrado,2026-09-11 17:00,2,3,2,1,1,2,0,11,11,13,,11.003,T. POR CERRAR - ENCOFRADO-CONCRETO,AYER Y ANTES,POR CERRAR,https://trello.com/c/x06fQhGR
2026-09-24 15:22,1PS4,ENCOFRADO FRISO DE LOSA,Encofrado,2026-09-09 17:00,2,3,2,1,1,2,0,11,11,15,,11.0031,T. POR CERRAR - ENCOFRADO-CONCRETO,AYER Y ANTES,POR CERRAR,https://trello.com/c/zdwTCYWI
2026-09-24 15:22,1PS5,CONCRETO EN LOSA,Concreto,2026-09-11 17:00,2,3,2,1,1,2,0,11,11,13,,11.0032,T. POR CERRAR - ENCOFRADO-CONCRETO,AYER Y ANTES,POR CERRAR,https://trello.com/c/4cHlzZEK
2026-09-24 15:22,1PS6,ENCOFRADO FRISO DE LOSA,Encofrado,2026-09-11 17:00,2,3,2,1,1,2,0,11,11,13,,11.0033,T. POR CERRAR - ENCOFRADO-CONCRETO,AYER Y ANTES,POR CERRAR,https://trello.com/c/wPtKbbb5
